Symbol,Date,Open,High,Low,Close,Volume
A,20 Oct 2023,109.54,110.59,109.18,109.23,2367300
AA,20 Oct 2023,23.5,24.37,23.26,24.01,9204400
AAC,20 Oct 2023,10.75,10.77,10.75,10.76,22000
AAC.T,20 Oct 2023,0.23,0.23,0.205,0.205,3800
AAC.W,20 Oct 2023,0.615,0.6741,0.61,0.6741,110400
AACT,20 Oct 2023,10.29,10.3,10.2798,10.28,647500
AAI-C,20 Oct 2023,24,24,23.75,23.75,1000
AAIC,20 Oct 2023,4.31,4.35,4.28,4.29,32600
AAIN,20 Oct 2023,23.2,23.4,23.2,23.3164,1900
AAN,20 Oct 2023,9.37,9.37,9.2,9.28,404400
AAP,20 Oct 2023,51.1,52.19,51.01,51.2,1355600
AAT,20 Oct 2023,18.19,18.29,17.98,17.98,197300
AB,20 Oct 2023,29.16,29.16,28.57,29.03,257600
ABBV,20 Oct 2023,145.28,147.505,145.28,146.23,4223800
ABEV,20 Oct 2023,2.45,2.48,2.4416,2.46,6304500
ABG,20 Oct 2023,207.47,208.56,204.23,204.71,145100
ABM,20 Oct 2023,41.65,41.77,40.26,40.29,491800
ABR,20 Oct 2023,13.97,14.255,13.85,14,3303600
ABR-D,20 Oct 2023,16.7,16.75,16.54,16.7,6800
ABR-E,20 Oct 2023,16.68,16.69,16.4,16.69,2500
ABR-F,20 Oct 2023,17.76,17.9033,17.61,17.67,6800
ABT,20 Oct 2023,95.25,98.15,95.25,96.78,11517800
AC,20 Oct 2023,33.49,34,33.49,33.94,4300
ACA,20 Oct 2023,68.7,69.81,68.28,68.61,276600
ACCO,20 Oct 2023,5.03,5.1,5.01,5.04,585000
ACEL,20 Oct 2023,10.2,10.21,10.095,10.13,317900
ACH.W,20 Oct 2023,1.18,1.22,1.14,1.18,13700
ACHR,20 Oct 2023,5.07,5.115,4.87,4.87,4451900
ACI,20 Oct 2023,22.51,22.51,22.2,22.27,1975000
ACM,20 Oct 2023,78.27,78.33,77.25,77.98,770500
ACN,20 Oct 2023,302.38,302.92,295.93,297,2385700
ACP,20 Oct 2023,6.25,6.25,6.2,6.2,308800
ACP-A,20 Oct 2023,21.6185,21.6185,21.44,21.45,3300
ACR,20 Oct 2023,7.04,7.61,7.04,7.16,7600
ACR-C,20 Oct 2023,22.34,22.34,22.126,22.2,1700
ACR-D,20 Oct 2023,18.45,18.5846,18.45,18.55,9700
ACRE,20 Oct 2023,9.22,9.365,9.12,9.24,748900
ACRO,20 Oct 2023,10.3,10.3,10.29,10.29,25700
ACV,20 Oct 2023,17.48,17.57,17.35,17.41,21100
ADC,20 Oct 2023,55.09,55.59,54.785,54.81,675400
ADC-A,20 Oct 2023,16.15,16.15,15.85,16,8600
ADCT,20 Oct 2023,0.8,0.8453,0.76,0.83,166500
ADM,20 Oct 2023,74.04,74.24,72.83,72.85,2457300
ADNT,20 Oct 2023,34.66,35.07,34.24,34.62,642900
ADT,20 Oct 2023,6.32,6.41,6.24,6.25,1293700
ADX,20 Oct 2023,16.6,16.605,16.3919,16.42,94100
AEE,20 Oct 2023,77.82,78.36,76.31,76.33,2380000
AEFC,20 Oct 2023,18.46,18.58,18.24,18.47,45200
AEG,20 Oct 2023,4.7,4.72,4.64,4.65,2353000
AEL,20 Oct 2023,53.25,53.39,53.055,53.15,523400
AEL-A,20 Oct 2023,20.9,21.11,20.8406,21.06,66500
AEL-B,20 Oct 2023,22.38,22.68,22.2,22.3,9300
AEM,20 Oct 2023,49.76,50.68,49.7,49.8,4497200
AEO,20 Oct 2023,17.65,17.82,17.24,17.45,4095900
AER,20 Oct 2023,58.43,59.11,57.975,58.15,1055900
AES,20 Oct 2023,13.75,13.935,13.6,13.83,12450600
AESC,20 Oct 2023,54.99,55.93,54.99,55.78,3100
AESI,20 Oct 2023,20.01,20.37,19.72,20.02,479600
AEV.W,20 Oct 2023,0.04,0.0409,0.032,0.04,11900
AEVA,20 Oct 2023,0.64,0.66,0.6105,0.6189,590900
AFB,20 Oct 2023,9.08,9.11,8.95,9.03,70100
AFG,20 Oct 2023,109.26,109.89,106.89,106.98,336300
AFGB,20 Oct 2023,21.4,21.75,21.3601,21.48,8300
AFGC,20 Oct 2023,18.42,18.75,18.23,18.38,9500
AFGD,20 Oct 2023,20.18,20.33,20.15,20.15,7000
AFGE,20 Oct 2023,16.66,16.98,16.204,16.75,7300
AFL,20 Oct 2023,79.31,79.32,76.78,77.58,3527100
AFT,20 Oct 2023,12.88,12.9,12.81,12.87,75400
AG,20 Oct 2023,5.7,5.86,5.545,5.57,9213800
AGCO,20 Oct 2023,115.1,115.93,112.91,113.2,502000
AGD,20 Oct 2023,8.47,8.5,8.39,8.4,59300
AGI,20 Oct 2023,12.8,12.995,12.66,12.7,3633100
AGL,20 Oct 2023,19.71,19.72,19.21,19.34,1572000
AGM,20 Oct 2023,144.44,144.44,141.65,141.85,46600
AGM-C,20 Oct 2023,24.8,24.81,24.8,24.8,1000
AGM-D,20 Oct 2023,21.05,21.05,20.65,20.65,5400
AGM-E,20 Oct 2023,21.5,21.5001,20.83,20.83,3400
AGM-F,20 Oct 2023,19.88,19.88,19.5001,19.52,4100
AGM-G,20 Oct 2023,18.14,18.35,18.12,18.2899,3400
AGM.A,20 Oct 2023,114.27,116.19,114.27,116.19,300
AGO,20 Oct 2023,61.3,61.565,59.95,59.97,244900
AGR,20 Oct 2023,30.76,31.145,30.44,30.59,1608100
